source,target,weight
192.168.0.1,192.168.0.2,66
192.168.0.2,192.168.0.1,66
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.4,66
192.168.0.1,192.168.0.4,66
192.168.0.4,192.168.0.1,66
192.168.0.4,192.168.0.1,66
192.168.0.1,192.168.0.5,66
192.168.0.6,192.168.0.1,74
192.168.0.1,192.168.0.6,74
192.168.0.7,192.168.0.1,74
192.168.0.1,192.168.0.7,74
192.168.0.7,192.168.0.1,66
192.168.0.7,192.168.0.1,66
192.168.0.1,192.168.0.7,66
192.168.0.1,192.168.0.7,66
192.168.0.7,192.168.0.1,74
192.168.0.1,192.168.0.7,74
192.168.0.7,192.168.0.1,66
192.168.0.7,192.168.0.1,66
192.168.0.7,192.168.0.1,66
192.168.0.1,192.168.0.7,66
192.168.0.6,192.168.0.1,66
192.168.0.6,192.168.0.1,66
192.168.0.1,192.168.0.6,66
192.168.0.1,192.168.0.6,66
192.168.0.6,192.168.0.1,66
192.168.0.7,192.168.0.1,66
192.168.0.8,192.168.0.1,74
192.168.0.1,192.168.0.8,74
192.168.0.8,192.168.0.1,66
192.168.0.8,192.168.0.1,66
192.168.0.1,192.168.0.8,66
192.168.0.1,192.168.0.8,66
192.168.0.8,192.168.0.1,66
192.168.0.8,192.168.0.1,66
192.168.0.1,192.168.0.8,66
192.168.0.8,192.168.0.1,66
192.168.0.1,192.168.0.3,54
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.3,54
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.3,54
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.9,192.168.0.1,58
192.168.0.1,192.168.0.9,58
192.168.0.9,192.168.0.1,54
192.168.0.9,192.168.0.1,54
192.168.0.1,192.168.0.9,54
192.168.0.1,192.168.0.9,54
192.168.0.9,192.168.0.1,54
192.168.0.10,192.168.0.1,66
192.168.0.1,192.168.0.10,66
192.168.0.10,192.168.0.1,66
192.168.0.10,192.168.0.1,54
192.168.0.1,192.168.0.3,54
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.5,66
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.5,192.168.0.1,66
192.168.0.11,192.168.0.1,58
192.168.0.1,192.168.0.11,58
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.1,192.168.0.12,74
192.168.0.12,192.168.0.1,74
192.168.0.1,192.168.0.12,66
192.168.0.1,192.168.0.12,66
192.168.0.5,192.168.0.1,78
192.168.0.12,192.168.0.1,66
192.168.0.12,192.168.0.1,66
192.168.0.1,192.168.0.12,66
192.168.0.1,192.168.0.12,66
192.168.0.12,192.168.0.1,66
192.168.0.1,192.168.0.12,66
192.168.0.12,192.168.0.1,66
192.168.0.13,192.168.0.1,66
192.168.0.1,192.168.0.13,66
192.168.0.12,192.168.0.1,66
192.168.0.1,192.168.0.12,66
192.168.0.1,192.168.0.12,66
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.12,192.168.0.1,66
192.168.0.12,192.168.0.1,66
192.168.0.1,192.168.0.12,54
192.168.0.12,192.168.0.1,66
192.168.0.1,192.168.0.12,54
192.168.0.11,192.168.0.1,58
192.168.0.1,192.168.0.11,58
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.14,54
192.168.0.14,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.14,192.168.0.1,54
192.168.0.3,192.168.0.1,54
192.168.0.3,192.168.0.1,54
192.168.0.3,192.168.0.1,54
192.168.0.3,192.168.0.1,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.3,54
192.168.0.3,192.168.0.1,54
192.168.0.1,192.168.0.15,54
192.168.0.15,192.168.0.1,54
192.168.0.6,192.168.0.1,66
192.168.0.1,192.168.0.6,66
192.168.0.6,192.168.0.1,66
192.168.0.16,192.168.0.1,62
192.168.0.1,192.168.0.16,62
192.168.0.16,192.168.0.1,54
192.168.0.5,192.168.0.1,66
192.168.0.1,192.168.0.5,66
192.168.0.5,192.168.0.1,66
192.168.0.1,192.168.0.5,66
192.168.0.1,192.168.0.17,74
192.168.0.17,192.168.0.1,74
192.168.0.1,192.168.0.17,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.7,66
192.168.0.7,192.168.0.1,66
192.168.0.1,192.168.0.7,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.17,192.168.0.1,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.1,192.168.0.17,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.1,192.168.0.5,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.8,66
192.168.0.8,192.168.0.1,66
192.168.0.1,192.168.0.8,66
192.168.0.1,192.168.0.9,54
192.168.0.5,192.168.0.1,66
192.168.0.1,192.168.0.5,66
192.168.0.9,192.168.0.1,54
192.168.0.18,192.168.0.1,74
192.168.0.1,192.168.0.18,74
192.168.0.18,192.168.0.1,66
192.168.0.4,192.168.0.1,66
192.168.0.1,192.168.0.4,66
192.168.0.4,192.168.0.1,66
192.168.0.1,192.168.0.4,66
192.168.0.4,192.168.0.1,78
192.168.0.1,192.168.0.4,74
192.168.0.4,192.168.0.1,78
192.168.0.1,192.168.0.4,74
192.168.0.4,192.168.0.1,66
192.168.0.4,192.168.0.1,66
192.168.0.4,192.168.0.1,66
192.168.0.1,192.168.0.4,66
192.168.0.4,192.168.0.1,66
192.168.0.1,192.168.0.4,66
192.168.0.1,192.168.0.4,66
192.168.0.1,192.168.0.4,66
192.168.0.4,192.168.0.1,66
192.168.0.4,192.168.0.1,66
192.168.0.5,192.168.0.1,54
192.168.0.5,192.168.0.1,54
192.168.0.7,192.168.0.1,66
192.168.0.1,192.168.0.7,66
192.168.0.7,192.168.0.1,66
192.168.0.16,192.168.0.1,54
192.168.0.1,192.168.0.16,54
192.168.0.1,192.168.0.16,54
192.168.0.1,192.168.0.16,54
192.168.0.1,192.168.0.16,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,58
192.168.0.1,192.168.0.11,58
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.11,192.168.0.1,54
192.168.0.16,192.168.0.1,54
192.168.0.16,192.168.0.1,54
192.168.0.16,192.168.0.1,54
192.168.0.16,192.168.0.1,54
192.168.0.14,192.168.0.1,66
192.168.0.1,192.168.0.14,66
192.168.0.14,192.168.0.1,54
192.168.0.14,192.168.0.1,54
192.168.0.1,192.168.0.14,54
192.168.0.1,192.168.0.17,74
192.168.0.17,192.168.0.1,74
192.168.0.1,192.168.0.17,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.11,54
192.168.0.11,192.168.0.1,54
192.168.0.1,192.168.0.11,54
192.168.0.17,192.168.0.1,66
192.168.0.1,192.168.0.17,66
